Page,Valid: first initials,Valid: second initials,Not valid: issue posted in hmt-archive
urn:cite:hmt:msA.1r,,,NS: unindexed text
urn:cite:hmt:msA.1v,,,NS: misidentified text
urn:cite:hmt:msA.2r,NS,,
urn:cite:hmt:msA.2v,NS,,
urn:cite:hmt:msA.3r,NS,,
urn:cite:hmt:msA.3v,NS,,
urn:cite:hmt:msA.4r,NS,,
urn:cite:hmt:msA.4v,,,NS: unindexed text
urn:cite:hmt:msA.5r,NS,,
urn:cite:hmt:msA.5v,NS,,
urn:cite:hmt:msA.6r,,,NS: unindexed text
urn:cite:hmt:msA.6v,NS,,
urn:cite:hmt:msA.7r,NS,,
urn:cite:hmt:msA.7v,NS,,
urn:cite:hmt:msA.8r,NS,,
urn:cite:hmt:msA.8v,NS,,
urn:cite:hmt:msA.9r,NS,,
urn:cite:hmt:msA.9v,NS,,
urn:cite:hmt:msA.10r,NS,,
urn:cite:hmt:msA.10v,NS,,
urn:cite:hmt:msA.11r,NS,,
urn:cite:hmt:msA.11v,NS,,
urn:cite:hmt:msA.12r,,,NS: need to reclassify ext scholia
urn:cite:hmt:msA.12v,,,NS: need to reclassify ext scholia
urn:cite:hmt:msA.13r,NS,,
urn:cite:hmt:msA.13v,NS,,
urn:cite:hmt:msA.14r,NS,,
urn:cite:hmt:msA.14v,NS,,
urn:cite:hmt:msA.15r,NS,,
urn:cite:hmt:msA.15v,NS,,
urn:cite:hmt:msA.16r,,,
urn:cite:hmt:msA.16v,,,
urn:cite:hmt:msA.17r,,,
urn:cite:hmt:msA.17v,,,
urn:cite:hmt:msA.18r,,,
urn:cite:hmt:msA.18v,,,
urn:cite:hmt:msA.19r,,,
urn:cite:hmt:msA.19v,,,
urn:cite:hmt:msA.20r,,,
urn:cite:hmt:msA.20v,,,
urn:cite:hmt:msA.21r,,,
urn:cite:hmt:msA.21v,,,
urn:cite:hmt:msA.22r,,,
urn:cite:hmt:msA.22v,,,
urn:cite:hmt:msA.23r,,,
urn:cite:hmt:msA.23v,,,
urn:cite:hmt:msA.24r,,,
urn:cite:hmt:msA.24v,,,
urn:cite:hmt:msA.25r,,,
urn:cite:hmt:msA.25v,,,
urn:cite:hmt:msA.26r,,,
urn:cite:hmt:msA.26v,,,
urn:cite:hmt:msA.27r,,,
urn:cite:hmt:msA.27v,,,
urn:cite:hmt:msA.28r,,,
urn:cite:hmt:msA.28v,,,
urn:cite:hmt:msA.29r,,,
urn:cite:hmt:msA.29v,,,
urn:cite:hmt:msA.30r,,,
urn:cite:hmt:msA.30v,,,
urn:cite:hmt:msA.31r,,,
urn:cite:hmt:msA.31v,,,
urn:cite:hmt:msA.32r,,,
urn:cite:hmt:msA.32v,,,
urn:cite:hmt:msA.33r,,,
urn:cite:hmt:msA.33v,,,
urn:cite:hmt:msA.34r,,,
urn:cite:hmt:msA.34v,,,
urn:cite:hmt:msA.35r,,,
urn:cite:hmt:msA.35v,,,
urn:cite:hmt:msA.36r,,,
urn:cite:hmt:msA.36v,,,
urn:cite:hmt:msA.37r,,,
urn:cite:hmt:msA.37v,,,
urn:cite:hmt:msA.38r,,,
urn:cite:hmt:msA.38v,,,
urn:cite:hmt:msA.39r,,,
urn:cite:hmt:msA.39v,,,
urn:cite:hmt:msA.40r,,,
urn:cite:hmt:msA.40v,,,
urn:cite:hmt:msA.41r,,,
urn:cite:hmt:msA.41v,,,NS: book subscription indexed twice
urn:cite:hmt:msA.42r,NS,,
urn:cite:hmt:msA.42v,,,
urn:cite:hmt:msA.43r,,,
urn:cite:hmt:msA.43v,,,
urn:cite:hmt:msA.44r,,,
urn:cite:hmt:msA.44v,,,
urn:cite:hmt:msA.45r,,,
urn:cite:hmt:msA.45v,,,
urn:cite:hmt:msA.46r,,,
urn:cite:hmt:msA.46v,,,
urn:cite:hmt:msA.47r,,,
urn:cite:hmt:msA.47v,,,
urn:cite:hmt:msA.48r,,,
urn:cite:hmt:msA.48v,,,
urn:cite:hmt:msA.49r,,,
urn:cite:hmt:msA.49v,,,
urn:cite:hmt:msA.50r,,,
urn:cite:hmt:msA.50v,NS,,
urn:cite:hmt:msA.51r,,,NS: double entry for book subscription urn:cts:greekLit:tlg5026.msAsub.hmt
urn:cite:hmt:msA.51v,,,
urn:cite:hmt:msA.52r,,,
urn:cite:hmt:msA.52v,,,
urn:cite:hmt:msA.53r,,,
urn:cite:hmt:msA.53v,,,
urn:cite:hmt:msA.54r,,,
urn:cite:hmt:msA.54v,,,
urn:cite:hmt:msA.55r,,,
urn:cite:hmt:msA.55v,,,
urn:cite:hmt:msA.56r,,,
urn:cite:hmt:msA.56v,,,
